arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 731.39557            posicao x: 130.99884            posicao y: 719.5685


sustentacao: 0.094891466            sustentacao x: 0.0            sustentacao y: -0.094891466
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 731.65125            posicao x: 131.99924            posicao y: 719.64557


sustentacao: 0.094946615            sustentacao x: 0.0            sustentacao y: -0.094946615
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 731.9151            posicao x: 132.99956            posicao y: 719.7297


sustentacao: 0.095023744            sustentacao x: 0.0            sustentacao y: -0.095023744
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 732.1872            posicao x: 133.99982            posicao y: 719.8209


sustentacao: 0.09511646            sustentacao x: 0.0            sustentacao y: -0.09511646
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 732.4675            posicao x: 134.99997            posicao y: 719.91925


sustentacao: 0.09520798            sustentacao x: 0.0            sustentacao y: -0.09520798
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 732.7562            posicao x: 136.0            posicao y: 720.0248


sustentacao: 0.09531789            sustentacao x: 0.0            sustentacao y: -0.09531789
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 732.95496            posicao x: 137.0            posicao y: 720.0375


sustentacao: 0.09542558            sustentacao x: 0.0            sustentacao y: -0.09542558
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 733.0616            posicao x: 138.0            posicao y: 719.955


sustentacao: 0.09552945            sustentacao x: 0.0            sustentacao y: -0.09552945
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 733.17206            posicao x: 138.99991            posicao y: 719.8752


sustentacao: 0.09563673            sustentacao x: 0.0            sustentacao y: -0.09563673
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 733.2864            posicao x: 139.99977            posicao y: 719.79785


sustentacao: 0.095732614            sustentacao x: 0.0            sustentacao y: -0.095732614
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 733.4046            posicao x: 140.99957            posicao y: 719.72314


sustentacao: 0.09583501            sustentacao x: 0.0            sustentacao y: -0.09583501
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 733.5267            posicao x: 141.99933            posicao y: 719.651


sustentacao: 0.095924154            sustentacao x: 0.0            sustentacao y: -0.095924154
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
